country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mean,year
ar,0.72575,0.736041667,5.125,-4.623083333,0.583333333,0.078875,0.179495833,2.57E-05,0.144654167,0.652416667,114.9789583,230313.75,3.958333333,0.360250904,2017
it,0.683363636,0.70825,5.431818182,-5.110159091,0.545454545,0.071456818,0.157033386,0.008308983,0.160011364,0.541322727,119.1626364,215777.2727,3.977272727,0.319686055,2017
ch,0.7005625,0.686015625,5.296875,-5.2861875,0.578125,0.085679687,0.170251078,0.006062725,0.154601562,0.53920625,117.4507656,218834.6094,3.984375,0.293119193,2017
jp,0.687869565,0.697347826,5.065217391,-5.149413043,0.586956522,0.084054348,0.162052804,0.00777465,0.149132609,0.569026087,117.8715435,213580.4783,3.97826087,0.286001876,2017
pa,0.71405,0.702575,4.95,-5.015525,0.525,0.082275,0.151839225,0.005625147,0.15185,0.589205,116.728025,220292.025,3.975,0.285689437,2017
hk,0.682078947,0.688394737,5.263157895,-5.345947368,0.578947368,0.086726316,0.176466553,0.009391622,0.140231579,0.536715789,121.1888947,214704.2105,3.973684211,0.281616344,2017
global,0.715305556,0.662402778,5.125,-5.657027778,0.638888889,0.105994444,0.181427347,0.00665641,0.151259722,0.543988889,116.8120833,221362.1806,3.986111111,0.247389626,2017
au,0.698192982,0.651929825,5.035087719,-5.897421053,0.631578947,0.115707018,0.174024018,0.008335915,0.149661404,0.516775439,118.1545965,220848.386,3.98245614,0.208387221,2017
ca,0.710859649,0.649842105,4.807017544,-5.793157895,0.666666667,0.115035088,0.182702965,0.006018276,0.145494737,0.529950877,116.3683333,221857.5439,3.98245614,0.202043001,2017
us,0.723408163,0.62155102,4.693877551,-6.070285714,0.734693878,0.119463265,0.195999367,0.006985309,0.134861224,0.523453061,115.8386735,224109.6122,3.979591837,0.168400713,2017
ar,0.7005625,0.686015625,5.296875,-5.2861875,0.578125,0.085679687,0.170251078,0.006062725,0.154601562,0.53920625,117.4507656,218834.6094,3.984375,0.293119193,2016
it,0.687869565,0.697347826,5.065217391,-5.149413043,0.586956522,0.084054348,0.162052804,0.00777465,0.149132609,0.569026087,117.8715435,213580.4783,3.97826087,0.286001876,2016
ch,0.71405,0.702575,4.95,-5.015525,0.525,0.082275,0.151839225,0.005625147,0.15185,0.589205,116.728025,220292.025,3.975,0.285689437,2016
jp,0.682078947,0.688394737,5.263157895,-5.345947368,0.578947368,0.086726316,0.176466553,0.009391622,0.140231579,0.536715789,121.1888947,214704.2105,3.973684211,0.281616344,2016
pa,0.715305556,0.662402778,5.125,-5.657027778,0.638888889,0.105994444,0.181427347,0.00665641,0.151259722,0.543988889,116.8120833,221362.1806,3.986111111,0.247389626,2016
hk,0.698192982,0.651929825,5.035087719,-5.897421053,0.631578947,0.115707018,0.174024018,0.008335915,0.149661404,0.516775439,118.1545965,220848.386,3.98245614,0.208387221,2016
global,0.710859649,0.649842105,4.807017544,-5.793157895,0.666666667,0.115035088,0.182702965,0.006018276,0.145494737,0.529950877,116.3683333,221857.5439,3.98245614,0.202043001,2016
au,0.723408163,0.62155102,4.693877551,-6.070285714,0.734693878,0.119463265,0.195999367,0.006985309,0.134861224,0.523453061,115.8386735,224109.6122,3.979591837,0.168400713,2016
ca,0.72575,0.736041667,5.125,-4.623083333,0.583333333,0.078875,0.179495833,2.57E-05,0.144654167,0.652416667,114.9789583,230313.75,3.958333333,0.360250904,2016
us,0.683363636,0.70825,5.431818182,-5.110159091,0.545454545,0.071456818,0.157033386,0.008308983,0.160011364,0.541322727,119.1626364,215777.2727,3.977272727,0.319686055,2016
